1,Wade Boggs,BOS,161,653,758,240,187,42,3,8,107,78,96,5,61,4,2,3,20,2,1,0.368
2,Willie McGee,STL,152,612,652,216,162,26,18,10,114,82,34,2,86,0,5,1,3,56,16,0.353
3,George Brett,KCR,155,550,665,184,111,38,5,30,108,112,103,31,49,3,9,0,12,9,1,0.335
4,Tony Perez,CIN,72,183,207,60,46,8,0,6,25,33,22,1,22,0,2,0,2,0,2,0.328
5,Thad Bosley,CHC,108,180,202,59,43,6,3,7,25,27,20,1,29,0,2,0,3,5,1,0.328
6,Don Mattingly,NYY,159,652,727,211,125,48,3,35,107,145,56,13,41,2,15,2,15,2,2,0.324
7,Pedro Guerrero,LAD,137,487,581,156,99,22,2,33,99,87,83,14,68,6,5,0,13,12,4,0.32
8,Tim Raines,MON,150,575,665,184,130,30,13,11,115,41,81,13,60,3,3,3,9,70,9,0.32
9,Tony Gwynn,SDP,154,622,671,197,157,29,5,6,90,46,45,4,33,2,1,1,17,14,11,0.317
10,Rickey Henderson,NYY,143,547,654,172,115,28,5,24,146,72,99,1,65,3,5,0,8,80,10,0.314
11,Wayne Tolleson,TEX,123,323,355,101,86,9,5,1,45,18,21,0,46,0,2,9,6,21,12,0.313
12,Garth Iorg,TOR,131,288,312,90,60,22,1,7,33,37,21,3,26,0,1,2,6,3,6,0.313
13,Dave Parker,CIN,160,635,694,198,118,42,4,34,88,125,52,24,80,3,4,0,26,5,13,0.312
14,Brett Butler,CLE,152,591,666,184,137,28,14,5,106,50,63,2,42,1,3,8,8,47,20,0.311
15,Harold Baines,CHW,160,640,693,198,144,29,3,22,86,113,42,8,89,1,10,0,23,1,1,0.309
16,Keith Hernandez,NYM,158,593,682,183,135,34,4,10,87,91,77,15,59,2,10,0,14,3,3,0.309
17,Keith Moreland,CHC,161,587,667,180,133,30,3,14,74,106,68,7,58,1,9,2,14,12,3,0.307
18,Floyd Rayford,BAL,105,359,372,110,70,21,1,18,55,48,10,0,69,0,1,2,10,3,1,0.306
19,Ryne Sandberg,CHC,153,609,673,186,123,31,6,26,113,83,57,5,97,1,4,2,10,54,11,0.305
20,Mike Brown,2 Tms,117,358,397,109,70,27,3,9,52,53,29,4,48,1,3,6,16,2,3,0.304
21,Juan Beniquez,CAL,132,411,460,125,99,13,5,8,54,42,34,3,46,5,1,9,16,4,3,0.304
22,Tom Herr,STL,159,596,696,180,131,38,3,8,97,110,80,5,55,2,13,5,6,31,3,0.302
23,Steve Henderson,OAK,85,193,213,58,44,8,3,3,25,31,18,0,34,0,1,1,10,0,0,0.301
24,Dale Murphy,ATL,162,616,712,185,114,32,2,37,118,111,90,15,141,1,5,0,14,10,3,0.3
25,Mark Salas,MIN,120,360,382,108,74,20,5,9,51,41,18,5,37,1,3,0,7,0,1,0.3
26,Joe Orsulak,PIT,121,397,436,119,99,14,6,0,54,21,26,3,27,1,3,9,5,24,11,0.3
27,Jose Cruz,HOU,141,544,590,163,116,34,4,9,69,79,43,10,74,0,3,0,11,16,5,0.3
28,Phil Bradley,SEA,159,641,714,192,125,33,8,26,100,88,55,4,129,12,2,4,14,22,9,0.3
29,Bill Buckner,BOS,162,673,719,201,136,46,3,16,89,110,30,5,36,2,11,2,16,18,4,0.299
30,Paul Molitor,MIL,140,576,642,171,130,28,3,10,93,48,54,6,80,1,4,7,11,21,7,0.297
31,Eddie Murray,BAL,156,583,677,173,104,37,1,31,111,124,84,12,68,2,8,0,8,5,2,0.297
32,Mike Scioscia,LAD,141,429,526,127,91,26,3,7,47,53,77,9,21,5,3,11,10,3,3,0.296
33,Ron Hassey,NYY,92,267,298,79,49,16,1,13,31,42,28,4,21,3,0,0,7,0,0,0.296
34,Rich Gedman,BOS,144,498,556,147,94,30,5,18,66,80,50,11,79,3,2,3,12,2,0,0.295
35,Rance Mulliniks,TOR,129,366,427,108,71,26,1,10,55,57,55,2,54,0,5,1,10,2,0,0.295
36,Bruce Bochte,OAK,137,424,474,125,93,17,1,14,48,60,49,6,58,0,1,0,14,3,1,0.295
37,Ron Oester,CIN,152,526,584,155,125,26,3,1,59,34,51,17,65,0,5,2,13,5,0,0.295
38,Mike Marshall,LAD,135,518,564,152,95,27,2,28,72,95,37,6,137,3,4,2,8,3,10,0.293
39,Cecil Cooper,MIL,154,631,674,185,122,39,8,16,82,99,30,3,77,2,10,1,24,10,3,0.293
40,Lee Lacy,BAL,121,492,540,144,109,22,4,9,69,48,39,0,95,2,6,1,10,10,3,0.293
41,Jim Rice,BOS,140,546,608,159,109,20,3,27,85,103,51,5,75,2,9,0,35,2,0,0.291
42,Cesar Cedeno,2 Tms,111,296,327,86,60,16,1,9,38,49,24,3,42,3,3,1,7,14,6,0.291
43,Ben Oglivie,MIL,101,341,394,99,70,17,2,10,40,61,37,3,51,2,10,4,8,0,2,0.29
44,Jesse Barfield,TOR,155,539,612,156,86,34,9,27,94,84,66,5,143,4,3,0,14,22,8,0.289
45,Tony Fernandez,TOR,161,564,618,163,120,31,10,2,71,51,43,2,41,2,2,7,12,13,6,0.289
46,Kirby Puckett,MIN,161,691,744,199,153,29,13,4,80,74,41,0,87,4,3,5,9,21,12,0.288
47,Julio Franco,CLE,160,636,703,183,140,33,4,6,97,90,54,2,74,4,9,0,26,13,9,0.288
48,Kirk Gibson,DET,154,581,670,167,96,37,5,29,96,97,71,16,137,5,10,3,5,30,4,0.287
49,Alvin Davis,SEA,155,578,677,166,114,33,1,18,78,78,90,7,71,2,7,0,14,1,2,0.287
50,Bill Doran,HOU,148,578,657,166,115,31,6,14,84,59,71,6,69,0,5,3,10,23,15,0.287
51,Mike Davis,OAK,154,547,604,157,98,34,1,24,92,82,50,8,99,2,2,3,10,24,10,0.287
52,Gary Ward,TEX,154,593,638,170,120,28,7,15,77,70,39,3,97,1,5,0,19,26,7,0.287
53,Ivan Calderon,SEA,67,210,233,60,32,16,4,8,37,28,19,1,45,2,1,1,10,4,2,0.286
54,Ernest Riles,MIL,116,448,495,128,104,12,7,5,54,45,36,0,54,2,3,6,16,2,2,0.286
55,Mike Hargrove,CLE,107,284,326,81,65,14,1,1,31,27,39,2,29,0,1,2,8,1,0,0.285
56,Donnie Hill,OAK,123,393,436,112,94,13,2,3,45,48,23,2,33,0,4,16,7,9,4,0.285
57,Davey Lopes,CHC,99,275,325,78,56,11,0,11,52,44,46,1,37,0,3,1,14,47,4,0.284
58,Terry Puhl,HOU,57,194,220,55,36,14,3,2,34,23,18,4,23,1,3,4,0,6,2,0.284
59,John Shelby,BAL,69,205,214,58,43,6,2,7,28,27,7,0,44,0,0,2,4,5,1,0.283
60,Leon Durham,CHC,153,542,607,153,98,32,2,21,58,75,64,24,99,0,1,0,5,7,6,0.282
61,Garry Templeton,SDP,148,546,596,154,116,30,2,6,63,55,41,24,88,1,3,5,5,16,6,0.282
62,Cal Ripken Jr.,BAL,161,642,718,181,118,32,5,26,116,110,67,1,68,1,8,0,32,2,3,0.282
63,R.J. Reynolds,2 Tms,104,337,372,95,70,15,7,3,44,42,22,1,49,2,3,7,6,18,5,0.282
64,Damaso Garcia,TOR,146,600,627,169,132,25,4,8,70,65,15,2,41,4,3,5,13,28,15,0.282
65,Mickey Hatcher,MIN,116,444,467,125,94,28,0,3,46,49,16,1,23,2,2,3,15,0,0,0.282
66,Steve Garvey,SDP,162,654,699,184,127,34,6,17,80,81,35,7,67,3,6,1,25,0,0,0.281
67,Tim Flannery,SDP,126,384,456,108,90,14,3,1,50,40,58,1,39,9,2,3,4,2,5,0.281
68,Jerry Royster,SDP,90,249,287,70,50,13,2,5,31,31,32,1,31,1,2,3,6,6,5,0.281
69,Gary Carter,NYM,149,555,633,156,106,17,1,32,83,100,69,16,46,6,3,0,18,1,1,0.281
70,Jack Clark,STL,126,442,532,124,73,26,3,22,71,87,83,14,88,2,5,0,10,1,4,0.281
71,Danny Heep,NYM,95,271,305,76,52,17,0,7,26,42,27,1,27,1,6,0,12,2,2,0.28
72,Alan Ashby,HOU,65,189,216,53,37,8,0,8,20,25,24,2,27,1,1,1,9,0,0,0.28
73,Rod Carew,CAL,127,443,518,124,102,17,3,2,69,39,64,9,47,1,1,9,8,5,5,0.28
74,Don Slaught,TEX,102,343,370,96,67,17,4,8,34,35,20,1,41,6,0,1,8,5,4,0.28
75,Lou Whitaker,DET,152,609,701,170,112,29,8,21,102,73,80,9,56,2,5,5,3,6,4,0.279
76,Luis Aguayo,PHI,91,165,200,46,30,7,3,6,27,21,22,5,26,6,3,4,7,1,0,0.279
77,Steve Sax,LAD,136,488,551,136,123,8,4,1,62,42,54,12,43,3,3,3,15,27,11,0.279
78,Kent Hrbek,MIN,158,593,666,165,111,31,2,21,78,93,67,12,87,2,4,0,12,1,1,0.278
79,Willie Wilson,KCR,141,605,642,168,118,25,21,4,87,43,29,3,94,5,1,2,6,43,11,0.278
80,Darryl Strawberry,NYM,111,393,470,109,61,15,4,29,78,79,73,13,96,1,3,0,9,26,11,0.277
81,Jerry Mumphrey,HOU,130,444,488,123,88,25,2,8,52,61,37,8,57,0,6,1,9,6,7,0.277
82,Mike Schmidt,PHI,158,549,645,152,83,31,5,33,89,93,87,8,117,3,6,0,10,1,3,0.277
83,Robin Yount,MIL,122,466,527,129,85,26,3,15,76,68,49,3,56,2,9,1,8,10,4,0.277
84,Carney Lansford,OAK,98,401,432,111,78,18,2,13,51,46,18,1,27,4,5,4,6,2,3,0.277
85,Claudell Washington,ATL,122,398,441,110,75,14,6,15,62,43,40,11,66,1,2,0,11,14,4,0.276
86,Glenn Hoffman,BOS,96,279,321,77,52,17,2,6,40,34,25,0,40,5,3,9,6,2,2,0.276
87,Mookie Wilson,NYM,93,337,367,93,63,16,8,6,56,26,28,6,52,0,1,1,9,24,9,0.276
88,Willie Randolph,NYY,143,497,597,137,109,21,2,5,75,40,85,3,39,4,6,5,24,16,9,0.276
89,Ozzie Smith,STL,158,537,615,148,117,22,3,6,70,54,65,11,27,2,2,9,13,31,8,0.276
90,Willie Upshaw,TOR,148,501,557,138,87,31,5,15,79,65,48,7,71,4,3,1,6,8,8,0.275
91,Jim Presley,SEA,155,570,625,157,95,33,1,28,71,84,44,9,100,1,9,1,29,2,2,0.275
92,George Bell,TOR,157,607,667,167,105,28,6,28,87,95,43,6,90,8,8,0,8,21,6,0.275
93,Dave Winfield,NYY,155,633,689,174,108,34,6,26,105,114,52,8,96,0,4,0,17,19,7,0.275
94,Bill Madlock,2 Tms,144,513,577,141,101,27,1,12,69,56,49,2,53,8,4,3,15,10,4,0.275
95,Pat Tabler,CLE,117,404,439,111,85,18,3,5,47,59,27,2,55,2,3,2,15,0,6,0.275
96,Glenn Wilson,PHI,161,608,650,167,109,39,5,14,73,102,35,1,117,0,7,0,24,7,4,0.275
97,Johnny Ray,PIT,154,594,652,163,120,33,3,7,67,70,46,10,24,1,6,5,11,13,9,0.274
98,Tony Bernazard,CLE,153,500,579,137,97,26,3,11,73,59,69,2,72,1,4,5,11,17,9,0.274
99,Ken Griffey,NYY,127,438,487,120,78,28,4,10,68,69,41,4,51,0,8,0,2,7,7,0.274
100,Brook Jacoby,CLE,161,606,662,166,117,26,3,20,72,87,48,3,120,0,7,1,16,2,3,0.274
101,Mike Young,BAL,139,450,504,123,72,22,1,28,72,81,48,5,104,4,1,1,9,1,5,0.273
102,Lance Parrish,DET,140,549,600,150,94,27,1,28,64,98,41,5,90,2,5,3,10,2,6,0.273
103,Wally Backman,NYM,145,520,574,142,112,24,5,1,77,38,36,1,72,1,3,14,3,30,12,0.273
104,Ozzie Guillen,CHW,150,491,513,134,103,21,9,1,71,33,12,1,36,1,1,8,5,7,4,0.273
105,Ted Simmons,MIL,143,528,592,144,102,28,2,12,60,76,57,9,32,1,5,1,17,1,1,0.273
106,Mitch Webster,2 Tms,78,213,235,58,37,8,2,11,32,30,20,3,33,0,1,1,3,15,10,0.272
107,Ken Oberkfell,ATL,134,412,472,112,86,19,4,3,30,35,51,6,38,6,2,1,10,1,2,0.272
108,Craig Reynolds,HOU,107,379,396,103,73,18,8,4,43,32,12,2,30,0,2,3,4,4,4,0.272
109,Wayne Krenchicki,CIN,90,173,205,47,34,9,0,4,16,25,28,4,20,0,2,2,3,0,0,0.272
110,Enos Cabell,2 Tms,117,335,367,91,69,19,1,2,40,36,30,1,36,0,0,2,5,9,3,0.272
111,Glenn Davis,HOU,100,350,390,95,64,11,0,20,51,64,27,6,68,7,4,2,12,0,0,0.271
112,Chris Brown,SFG,131,432,482,117,78,20,3,16,50,61,38,4,78,11,0,1,19,2,3,0.271
113,Bill Almon,PIT,88,244,274,66,43,17,0,6,33,29,22,0,61,1,3,4,6,10,7,0.27
114,Alfredo Griffin,OAK,162,614,646,166,139,18,7,2,75,64,20,1,50,0,7,5,6,24,9,0.27
115,Chili Davis,SFG,136,481,551,130,90,25,2,13,53,56,62,12,74,0,7,1,16,15,7,0.27
116,Toby Harrah,TEX,126,396,521,107,79,18,1,9,65,44,113,2,60,4,6,2,4,11,4,0.27
117,Jerry Willard,CLE,104,300,334,81,61,13,0,7,39,36,28,1,59,1,1,4,3,0,0,0.27
118,Denny Walling,HOU,119,345,374,93,65,20,1,7,44,45,25,2,26,0,4,0,8,5,2,0.27
119,Joel Youngblood,SFG,95,230,263,62,52,6,0,4,24,24,30,1,37,1,1,1,6,3,2,0.27
120,Hubie Brooks,MON,156,605,652,163,109,34,7,13,67,100,34,6,79,5,8,0,20,6,9,0.269
121,Kevin Bass,HOU,150,539,582,145,97,27,5,16,72,68,31,1,63,6,2,4,10,19,8,0.269
122,Tim Hulett,CHW,141,395,437,106,78,19,4,5,52,37,30,1,81,4,3,4,8,6,4,0.268
123,Dusty Baker Jr.,OAK,111,343,396,92,62,15,1,14,48,52,50,0,47,0,3,0,12,2,1,0.268
124,Phil Garner,HOU,135,463,505,124,85,23,10,6,65,51,34,3,72,2,5,1,12,4,4,0.268
125,Ken Landreaux,LAD,147,482,527,129,89,26,2,12,70,50,33,2,37,1,8,3,9,15,5,0.268
126,Vince Coleman,STL,151,636,692,170,139,20,10,1,107,40,50,1,115,0,1,5,3,110,25,0.267
127,Bob Horner,ATL,130,483,540,129,74,25,3,27,61,89,50,4,57,1,6,0,18,1,1,0.267
128,Pete O'Brien,TEX,159,573,655,153,94,34,3,22,69,92,69,4,53,1,9,3,18,5,10,0.267
129,Terry Francona,MON,107,281,296,75,57,15,1,2,19,31,12,4,12,1,0,2,1,5,5,0.267
130,Jorge Orta,KCR,110,300,330,80,54,21,1,4,32,45,22,5,28,2,4,2,8,2,1,0.267
131,Marty Barrett,BOS,156,534,608,142,111,26,0,5,59,56,56,3,50,2,4,12,14,7,5,0.266
132,Vance Law,MON,147,519,621,138,92,30,6,10,75,52,86,0,96,2,6,8,11,6,5,0.266
133,Al Cowens,SEA,122,452,487,120,69,32,5,14,59,69,30,3,56,1,4,0,23,0,0,0.265
134,Randy Ready,MIL,48,181,200,48,33,9,5,1,29,21,14,0,23,1,2,2,6,0,0,0.265
135,Jeff Stone,PHI,88,264,282,70,60,4,3,3,36,11,15,0,50,1,0,2,3,15,5,0.265
136,Mark Bailey,HOU,114,332,402,88,64,14,0,10,47,45,67,13,70,1,1,1,16,0,2,0.265
137,Chet Lemon,DET,145,517,575,137,87,28,4,18,69,68,45,3,93,10,3,0,5,0,2,0.265
138,Tony Armas,BOS,103,385,410,102,57,17,5,23,50,64,18,4,90,2,5,0,14,0,0,0.265
139,Tom Paciorek,2 Tms,92,238,257,63,56,5,1,1,28,20,14,1,36,2,2,1,5,3,0,0.265
140,Terry Harper,ATL,138,492,542,130,96,15,2,17,58,72,44,4,76,3,2,1,13,9,9,0.264
141,Pete Rose,CIN,119,405,501,107,91,12,2,2,60,46,86,5,35,4,4,1,10,8,1,0.264
142,Steve Lyons,BOS,133,371,409,98,76,14,3,5,52,30,32,0,64,1,3,2,2,12,9,0.264
143,Juan Samuel,PHI,161,663,709,175,112,31,13,19,101,74,33,2,141,6,5,2,8,53,19,0.264
144,Jack Perconte,SEA,125,485,542,128,102,17,7,2,60,23,50,0,36,3,2,2,9,31,2,0.264
145,Brian Downing,CAL,150,520,620,137,93,23,1,20,80,85,78,3,61,13,4,5,12,5,3,0.263
146,Fred Lynn,BAL,124,448,508,118,82,12,1,23,59,68,53,6,100,1,6,0,7,7,3,0.263
